"slot","age","year","unit","season","area","iter","data"
"catch","all",1957,"unique","all","unique","1",145268.05662189
"catch","all",1958,"unique","all","unique","1",220440.35475
"catch","all",1959,"unique","all","unique","1",348261.33386
"catch","all",1960,"unique","all","unique","1",380865.1693018
"catch","all",1961,"unique","all","unique","1",428006.1870194
"catch","all",1962,"unique","all","unique","1",450161.37579794
"catch","all",1963,"unique","all","unique","1",479688.99352033
"catch","all",1964,"unique","all","unique","1",475315.0871971
"catch","all",1965,"unique","all","unique","1",565262.43203586
"catch","all",1966,"unique","all","unique","1",737662.06848114
"catch","all",1967,"unique","all","unique","1",609217.2271642
"catch","all",1968,"unique","all","unique","1",409016.9287444
"catch","all",1969,"unique","all","unique","1",357826.05242643
"catch","all",1970,"unique","all","unique","1",360144.41642901
"catch","all",1971,"unique","all","unique","1",356555.88540673
"catch","all",1972,"unique","all","unique","1",319911.229226
"catch","all",1973,"unique","all","unique","1",311235.016738
"catch","all",1974,"unique","all","unique","1",543311.72242832
"catch","all",1975,"unique","all","unique","1",803796.5726174
"catch","all",1976,"unique","all","unique","1",659324.01970576
"catch","all",1977,"unique","all","unique","1",681717.03518
"catch","all",1978,"unique","all","unique","1",626364.02973476
"catch","all",1979,"unique","all","unique","1",648081.03032452
"catch","all",1980,"unique","all","unique","1",491141.107444
"catch","all",1981,"unique","all","unique","1",483204.460559
"catch","all",1982,"unique","all","unique","1",613370.65971772
"catch","all",1983,"unique","all","unique","1",833107.939934
"catch","all",1984,"unique","all","unique","1",818519.9462692
"catch","all",1985,"unique","all","unique","1",829347.03493
"catch","all",1986,"unique","all","unique","1",1292584.06623072
"catch","all",1987,"unique","all","unique","1",1689749.27418
"catch","all",1988,"unique","all","unique","1",1639383.84267
"catch","all",1989,"unique","all","unique","1",1231353.89128
"catch","all",1990,"unique","all","unique","1",936314.57514
"catch","all",1991,"unique","all","unique","1",851245.22461776
"catch","all",1992,"unique","all","unique","1",713773.03672039
"catch","all",1993,"unique","all","unique","1",519533.22826904
"catch","all",1994,"unique","all","unique","1",376732.65541285
"catch","all",1995,"unique","all","unique","1",339159.14287072
"catch","all",1996,"unique","all","unique","1",474410.6284
"catch","all",1997,"unique","all","unique","1",776072.28336
"catch","all",1998,"unique","all","unique","1",1044444.86779004
"catch","all",1999,"unique","all","unique","1",830565.602845
"catch","all",2000,"unique","all","unique","1",557120.76768
"catch","all",2001,"unique","all","unique","1",681704.766604
"catch","all",2002,"unique","all","unique","1",653828.218695
"catch","all",2003,"unique","all","unique","1",867365.22536
"catch","all",2004,"unique","all","unique","1",657806.812084
"catch","all",2005,"unique","all","unique","1",591996.7798324
"catch","all",2006,"unique","all","unique","1",559192.648776
"catch","all",2007,"unique","all","unique","1",510284.464251
"catch","all",2008,"unique","all","unique","1",552797.525883
"catch","all",2009,"unique","all","unique","1",537450.352266
"catch","all",2010,"unique","all","unique","1",520026.16030169
"catch","all",2011,"unique","all","unique","1",527248.421893
"catch","all",2012,"unique","all","unique","1",577954.617698
"catch","all",2013,"unique","all","unique","1",536445.631886
"catch","all",2014,"unique","all","unique","1",619686.22832351
"catch","all",2015,"unique","all","unique","1",554085.90188776
"catch","all",2016,"unique","all","unique","1",534731.72178964
"catch","all",2017,"unique","all","unique","1",486470.34356454
"catch.n","1",1957,"unique","all","unique","1",42702.657893
"catch.n","2",1957,"unique","all","unique","1",40141.28
"catch.n","3",1957,"unique","all","unique","1",79353.02
"catch.n","4",1957,"unique","all","unique","1",56560.05
"catch.n","5",1957,"unique","all","unique","1",31888.258
"catch.n","6",1957,"unique","all","unique","1",10988.0232
"catch.n","7",1957,"unique","all","unique","1",12049.591875
"catch.n","8",1957,"unique","all","unique","1",9595.798519
"catch.n","9",1957,"unique","all","unique","1",5495.247444
"catch.n","10",1957,"unique","all","unique","1",11779.088359
"catch.n","1",1958,"unique","all","unique","1",72733.0477
"catch.n","2",1958,"unique","all","unique","1",71294.94
"catch.n","3",1958,"unique","all","unique","1",52031.6
"catch.n","4",1958,"unique","all","unique","1",67368.68
"catch.n","5",1958,"unique","all","unique","1",35848.98
"catch.n","6",1958,"unique","all","unique","1",21828.3035
"catch.n","7",1958,"unique","all","unique","1",8568.272582
"catch.n","8",1958,"unique","all","unique","1",8610.916048
"catch.n","9",1958,"unique","all","unique","1",7050.642505
"catch.n","10",1958,"unique","all","unique","1",14773.428292
"catch.n","1",1959,"unique","all","unique","1",99992.129389
"catch.n","2",1959,"unique","all","unique","1",120597.6
"catch.n","3",1959,"unique","all","unique","1",80618.9
"catch.n","4",1959,"unique","all","unique","1",37763.4
"catch.n","5",1959,"unique","all","unique","1",43350.57
"catch.n","6",1959,"unique","all","unique","1",23811.03
"catch.n","7",1959,"unique","all","unique","1",14322.205227
"catch.n","8",1959,"unique","all","unique","1",5999.878174
"catch.n","9",1959,"unique","all","unique","1",6932.95434
"catch.n","10",1959,"unique","all","unique","1",16725.705891
"catch.n","1",1960,"unique","all","unique","1",97351.356343
"catch.n","2",1960,"unique","all","unique","1",152894.5
"catch.n","3",1960,"unique","all","unique","1",116614.2
"catch.n","4",1960,"unique","all","unique","1",51480.296
"catch.n","5",1960,"unique","all","unique","1",24004.78
"catch.n","6",1960,"unique","all","unique","1",27315.975
"catch.n","7",1960,"unique","all","unique","1",13940.688095
"catch.n","8",1960,"unique","all","unique","1",9719.185578
"catch.n","9",1960,"unique","all","unique","1",4592.228319
"catch.n","10",1960,"unique","all","unique","1",15503.408171
"catch.n","1",1961,"unique","all","unique","1",105215.693983
"catch.n","2",1961,"unique","all","unique","1",135019.66
"catch.n","3",1961,"unique","all","unique","1",137289.1
"catch.n","4",1961,"unique","all","unique","1",72242.52
"catch.n","5",1961,"unique","all","unique","1",32458.56
"catch.n","6",1961,"unique","all","unique","1",14742.89
"catch.n","7",1961,"unique","all","unique","1",15632.324227
"catch.n","8",1961,"unique","all","unique","1",9045.316789
"catch.n","9",1961,"unique","all","unique","1",6532.136257
"catch.n","10",1961,"unique","all","unique","1",12505.119927
"catch.n","1",1962,"unique","all","unique","1",65815.539981
"catch.n","2",1962,"unique","all","unique","1",147178.83
"catch.n","3",1962,"unique","all","unique","1",129967.5
"catch.n","4",1962,"unique","all","unique","1",89048.4
"catch.n","5",1962,"unique","all","unique","1",46321.314
"catch.n","6",1962,"unique","all","unique","1",20597.37
"catch.n","7",1962,"unique","all","unique","1",8738.098847
"catch.n","8",1962,"unique","all","unique","1",9787.410297
"catch.n","9",1962,"unique","all","unique","1",5770.297679
"catch.n","10",1962,"unique","all","unique","1",13593.849278
"catch.n","1",1963,"unique","all","unique","1",51938.984795
"catch.n","2",1963,"unique","all","unique","1",111598.54
"catch.n","3",1963,"unique","all","unique","1",161466.7
"catch.n","4",1963,"unique","all","unique","1",83925.51
"catch.n","5",1963,"unique","all","unique","1",57929.89
"catch.n","6",1963,"unique","all","unique","1",30973.684
"catch.n","7",1963,"unique","all","unique","1",12304.869751
"catch.n","8",1963,"unique","all","unique","1",5372.195602
"catch.n","9",1963,"unique","all","unique","1",6709.52697
"catch.n","10",1963,"unique","all","unique","1",16653.292308
"catch.n","1",1964,"unique","all","unique","1",167733.26621
"catch.n","2",1964,"unique","all","unique","1",116858.9
"catch.n","3",1964,"unique","all","unique","1",126250.5
"catch.n","4",1964,"unique","all","unique","1",90727.7
"catch.n","5",1964,"unique","all","unique","1",52829.48
"catch.n","6",1964,"unique","all","unique","1",38431.543
"catch.n","7",1964,"unique","all","unique","1",17096.536332
"catch.n","8",1964,"unique","all","unique","1",7257.266042
"catch.n","9",1964,"unique","all","unique","1",3823.856698
"catch.n","10",1964,"unique","all","unique","1",19738.480089
"catch.n","1",1965,"unique","all","unique","1",41740.476052
"catch.n","2",1965,"unique","all","unique","1",446985
"catch.n","3",1965,"unique","all","unique","1",123478
"catch.n","4",1965,"unique","all","unique","1",61372.16
"catch.n","5",1965,"unique","all","unique","1",53769.44
"catch.n","6",1965,"unique","all","unique","1",32417.298
"catch.n","7",1965,"unique","all","unique","1",18841.810206
"catch.n","8",1965,"unique","all","unique","1",9369.664563
"catch.n","9",1965,"unique","all","unique","1",4806.337106
"catch.n","10",1965,"unique","all","unique","1",16512.266804
"catch.n","1",1966,"unique","all","unique","1",39663.313607
"catch.n","2",1966,"unique","all","unique","1",111166.4
"catch.n","3",1966,"unique","all","unique","1",462675.4
"catch.n","4",1966,"unique","all","unique","1",61390.1
"catch.n","5",1966,"unique","all","unique","1",35187.61
"catch.n","6",1966,"unique","all","unique","1",30721.821
"catch.n","7",1966,"unique","all","unique","1",15318.955862
"catch.n","8",1966,"unique","all","unique","1",10117.960668
"catch.n","9",1966,"unique","all","unique","1",5832.412785
"catch.n","10",1966,"unique","all","unique","1",13434.041866
"catch.n","1",1967,"unique","all","unique","1",37965.736935
"catch.n","2",1967,"unique","all","unique","1",98310.59
"catch.n","3",1967,"unique","all","unique","1",120682.1
"catch.n","4",1967,"unique","all","unique","1",259964
"catch.n","5",1967,"unique","all","unique","1",35582.316
"catch.n","6",1967,"unique","all","unique","1",20186.835
"catch.n","7",1967,"unique","all","unique","1",15625.573593
"catch.n","8",1967,"unique","all","unique","1",8730.534712
"catch.n","9",1967,"unique","all","unique","1",6397.306108
"catch.n","10",1967,"unique","all","unique","1",12784.660846
"catch.n","1",1968,"unique","all","unique","1",52595.954449
"catch.n","2",1968,"unique","all","unique","1",82427.96
"catch.n","3",1968,"unique","all","unique","1",105022.1
"catch.n","4",1968,"unique","all","unique","1",71629.9
"catch.n","5",1968,"unique","all","unique","1",157422.8
"catch.n","6",1968,"unique","all","unique","1",21932.6006
"catch.n","7",1968,"unique","all","unique","1",11270.729482
"catch.n","8",1968,"unique","all","unique","1",9465.045171
"catch.n","9",1968,"unique","all","unique","1",5731.51929
"catch.n","10",1968,"unique","all","unique","1",14154.414507
"catch.n","1",1969,"unique","all","unique","1",109457.71927
"catch.n","2",1969,"unique","all","unique","1",87678.2
"catch.n","3",1969,"unique","all","unique","1",74641.7
"catch.n","4",1969,"unique","all","unique","1",59702.9
"catch.n","5",1969,"unique","all","unique","1",45774.696
"catch.n","6",1969,"unique","all","unique","1",103358.62
"catch.n","7",1969,"unique","all","unique","1",12474.466133
"catch.n","8",1969,"unique","all","unique","1",6747.593764
"catch.n","9",1969,"unique","all","unique","1",6186.036746
"catch.n","10",1969,"unique","all","unique","1",15527.555885
"catch.n","1",1970,"unique","all","unique","1",117963.1227
"catch.n","2",1970,"unique","all","unique","1",133995.3
"catch.n","3",1970,"unique","all","unique","1",66343.1
"catch.n","4",1970,"unique","all","unique","1",41494.606
"catch.n","5",1970,"unique","all","unique","1",39552.22
"catch.n","6",1970,"unique","all","unique","1",30184.474
"catch.n","7",1970,"unique","all","unique","1",57327.07292
"catch.n","8",1970,"unique","all","unique","1",7215.486621
"catch.n","9",1970,"unique","all","unique","1",4365.015113
"catch.n","10",1970,"unique","all","unique","1",17101.291324
"catch.n","1",1971,"unique","all","unique","1",73200.7408
"catch.n","2",1971,"unique","all","unique","1",126945
"catch.n","3",1971,"unique","all","unique","1",100832.4
"catch.n","4",1971,"unique","all","unique","1",39796.45
"catch.n","5",1971,"unique","all","unique","1",27756.805
"catch.n","6",1971,"unique","all","unique","1",25591.4526
"catch.n","7",1971,"unique","all","unique","1",17180.591654
"catch.n","8",1971,"unique","all","unique","1",33998.653503
"catch.n","9",1971,"unique","all","unique","1",4767.889748
"catch.n","10",1971,"unique","all","unique","1",16488.171924
"catch.n","1",1972,"unique","all","unique","1",61075.31
"catch.n","2",1972,"unique","all","unique","1",83724.5
"catch.n","3",1972,"unique","all","unique","1",108372.6
"catch.n","4",1972,"unique","all","unique","1",67677.23
"catch.n","5",1972,"unique","all","unique","1",26517.951
"catch.n","6",1972,"unique","all","unique","1",17801.0399
"catch.n","7",1972,"unique","all","unique","1",15407.220948
"catch.n","8",1972,"unique","all","unique","1",10747.179255
"catch.n","9",1972,"unique","all","unique","1",23096.604258
"catch.n","10",1972,"unique","all","unique","1",15528.782423
"catch.n","1",1973,"unique","all","unique","1",245992.44
"catch.n","2",1973,"unique","all","unique","1",76932.2
